filename,time(s),memory(MB)
./data/set/data1.csv, 0.010, 1.918
./data/set/data10.csv, 0.007, 1.645
./data/set/data100.csv, 0.350, 77.324
./data/set/data101.csv, 2.332, 359.555
./data/set/data102.csv, 1.781, 291.898
./data/set/data103.csv, 0.695, 117.324
./data/set/data104.csv, 1.297, 235.965
./data/set/data105.csv, 1.559, 261.723
./data/set/data106.csv, 0.545, 104.262
./data/set/data107.csv, 2.685, 347.098
./data/set/data108.csv, 0.523, 113.562
./data/set/data109.csv, 1.014, 212.430
./data/set/data11.csv, 0.007, 1.359
./data/set/data110.csv, 1.341, 257.469
./data/set/data111.csv, 0.684, 156.523
./data/set/data112.csv, 0.930, 200.391
./data/set/data113.csv, 1.789, 256.184
./data/set/data114.csv, 0.624, 83.094
./data/set/data115.csv, 0.359, 59.109
./data/set/data116.csv, 0.362, 72.312
./data/set/data117.csv, 0.436, 70.871
./data/set/data118.csv, 0.445, 104.930
./data/set/data119.csv, 0.369, 92.758
./data/set/data12.csv, 0.007, 1.215
./data/set/data120.csv, 1.776, 305.195
./data/set/data13.csv, 0.005, 0.984
./data/set/data14.csv, 0.006, 0.992
./data/set/data15.csv, 0.006, 1.578
./data/set/data16.csv, 0.007, 0.992
./data/set/data17.csv, 0.006, 1.566
./data/set/data18.csv, 0.007, 1.125
./data/set/data19.csv, 0.007, 1.969
./data/set/data2.csv, 0.006, 1.074
./data/set/data20.csv, 0.006, 0.871
./data/set/data21.csv, 0.005, 0.613
./data/set/data22.csv, 0.005, 1.000
./data/set/data23.csv, 0.004, 0.695
./data/set/data24.csv, 0.008, 1.477
./data/set/data25.csv, 0.006, 1.156
./data/set/data26.csv, 0.005, 0.770
./data/set/data27.csv, 0.006, 1.594
./data/set/data28.csv, 0.006, 1.586
./data/set/data29.csv, 0.009, 1.535
./data/set/data3.csv, 0.007, 1.930
./data/set/data30.csv, 0.007, 1.996
./data/set/data31.csv, 0.027, 6.695
./data/set/data32.csv, 0.016, 4.277
./data/set/data33.csv, 0.018, 4.484
./data/set/data34.csv, 0.016, 4.414
./data/set/data35.csv, 0.008, 2.062
./data/set/data36.csv, 0.018, 4.230
./data/set/data37.csv, 0.028, 6.605
./data/set/data38.csv, 0.009, 1.805
./data/set/data39.csv, 0.019, 5.254
./data/set/data4.csv, 0.007, 2.000
./data/set/data40.csv, 0.023, 5.164
./data/set/data41.csv, 0.020, 4.543
./data/set/data42.csv, 0.020, 5.234
./data/set/data43.csv, 0.027, 6.688
./data/set/data44.csv, 0.016, 4.383
./data/set/data45.csv, 0.017, 4.523
./data/set/data46.csv, 0.017, 4.648
./data/set/data47.csv, 0.026, 6.711
./data/set/data48.csv, 0.038, 7.273
./data/set/data49.csv, 0.028, 6.473
./data/set/data5.csv, 0.007, 1.336
./data/set/data50.csv, 0.016, 4.309
./data/set/data51.csv, 0.027, 6.336
./data/set/data52.csv, 0.023, 6.266
./data/set/data53.csv, 0.010, 2.023
./data/set/data54.csv, 0.024, 6.145
./data/set/data55.csv, 0.025, 6.480
./data/set/data56.csv, 0.011, 2.254
./data/set/data57.csv, 0.029, 7.074
./data/set/data58.csv, 0.041, 6.621
./data/set/data59.csv, 0.012, 2.535
./data/set/data6.csv, 0.007, 1.977
./data/set/data60.csv, 0.008, 2.078
./data/set/data61.csv, 0.105, 29.832
./data/set/data62.csv, 0.180, 47.137
./data/set/data63.csv, 0.033, 8.281
./data/set/data64.csv, 0.199, 52.918
./data/set/data65.csv, 0.093, 20.996
./data/set/data66.csv, 0.090, 21.445
./data/set/data67.csv, 0.047, 10.793
./data/set/data68.csv, 0.086, 19.328
./data/set/data69.csv, 0.118, 30.109
./data/set/data7.csv, 0.007, 1.293
./data/set/data70.csv, 0.281, 46.125
./data/set/data71.csv, 0.050, 12.312
./data/set/data72.csv, 0.155, 38.477
./data/set/data73.csv, 0.175, 45.500
./data/set/data74.csv, 0.036, 8.730
./data/set/data75.csv, 0.220, 51.289
./data/set/data76.csv, 0.222, 48.410
./data/set/data77.csv, 0.040, 9.262
./data/set/data78.csv, 0.175, 45.691
./data/set/data79.csv, 0.232, 49.844
./data/set/data8.csv, 0.006, 1.008
./data/set/data80.csv, 0.314, 47.902
./data/set/data81.csv, 0.209, 42.766
./data/set/data82.csv, 0.178, 49.336
./data/set/data83.csv, 0.195, 46.738
./data/set/data84.csv, 0.169, 42.199
./data/set/data85.csv, 0.030, 7.691
./data/set/data86.csv, 0.052, 12.098
./data/set/data87.csv, 0.064, 15.219
./data/set/data88.csv, 0.134, 37.316
./data/set/data89.csv, 0.270, 49.449
./data/set/data9.csv, 0.006, 1.215
./data/set/data90.csv, 0.111, 31.910
./data/set/data91.csv, 2.418, 330.441
./data/set/data92.csv, 1.032, 215.207
./data/set/data93.csv, 1.848, 312.520
./data/set/data94.csv, 0.698, 118.594
./data/set/data95.csv, 0.382, 67.117
./data/set/data96.csv, 2.303, 359.688
./data/set/data97.csv, 1.494, 214.031
./data/set/data98.csv, 1.996, 335.664
./data/set/data99.csv, 1.587, 281.109
